label,size,avg_dynm_init_ns,avg_dynm_exec_ns,avg_symb_init_ns,avg_symb_exec_ns,avg_inst_exec_ns,cv_dynm_init,cv_dynm_exec,cv_symb_init,cv_symb_exec,cv_inst_exec
cast,512,15867974,189000,8439475,586964,70,0.16347112957300655,0.1587071014082474,0.18003445637871607,0.266530197468794,0.5076958755404817
cast,1024,12637770,580745,8655848,569121,50,0.10580528631167127,0.012912093848864964,0.20310343889249247,0.27475500818623894,0.08717797887081348
cast,2048,10906441,1935028,7478810,444751,49,0.011366375481593288,0.13949061034324306,0.17600468669779842,0.1095320207339899,0.2359516218959322
cast,4096,11335261,9050758,8575700,478330,48,0.06483990427617727,0.1363781666814945,0.0687442224257839,0.007212322079803586,0.15801985155020137
cast,8192,12388650,33346406,8979629,482864,51,0.05470585200088719,0.010650032902412862,0.027242344582480857,0.014913363066482516,0.05623541583015835
mul,64,17091554,4703,12041496,733152,49,0.22020799325758494,0.33694656549521557,0.2196708326670079,0.3668592686142068,0.06472248832881178
mul,128,20326533,17371,14867187,879459,50,0.2281623017305708,0.42554969111658403,0.2052863721112978,0.3424492496302819,0.034641016151377546
mul,256,16925803,53975,9497391,612478,70,0.28948111589527764,0.4655090653421165,0.15391480889918582,0.33713693905426717,0.3392517567426214
mul,512,20735242,114300,8683580,484288,53,0.13673389233540437,0.014127730986473332,0.06186412503062889,0.00790972831996082,0.3507529913911926
mul,1024,11794415,470054,12324391,969592,73,0.011833022492671012,0.012219285843018662,0.20316109367391025,0.4331483669269518,0.6338098106159749
mul,2048,12535966,2092440,9516024,552046,62,0.020201807730558248,0.003976390385758023,0.028226242991393997,0.1251276676485318,0.42636789872251646
mul,4096,12558088,10633267,8473863,612538,82,0.04041066605455792,0.10085806227210671,0.1524035860938303,0.19248779000796928,0.539349863109658
mul,8192,12336284,40241716,9182262,596606,48,0.03666992501920339,0.0034589725751750576,0.06185511178206499,0.08883838320905633,0.042773958893139716
relu,64,14062337,4817,9271232,539988,57,0.18822318601784185,0.3269928880299505,0.16327008100312546,0.2056524466529868,0.32158425929514667
relu,128,14181246,13941,10876805,536394,40,0.2339003299559856,0.28827871548559314,0.3301737474952022,0.3268669346050786,0.05161155370577188
