label,size,avg_dynm_init_ns,avg_dynm_exec_ns,avg_symb_init_ns,avg_symb_exec_ns,cv_dynm_init,cv_dynm_exec,cv_symb_init,cv_symb_exec
batch_norm,128,17143460,8376688,88425219,8689697,0.09517210725804934,0.08003520288025368,0.013759653698629887,0.014535342048205778
batch_norm,256,16034177,34032405,85735085,8583464,0.05537936455198266,0.06787693479077975,0.014103862434721854,0.012069628083404798
batch_norm,512,16493050,131699559,87353273,8531123,0.006093082474719328,0.03391063929866828,0.009638216872267522,0.002625880984806334
batch_norm,1024,16666106,528116259,86240804,8553502,0.10220792826503372,0.029207084769965447,0.01869491888479745,0.008266289535614415
batch_norm,2048,16363947,2096980752,84605203,8538940,0.1403331705360956,0.030656883933817335,0.008408603899112176,0.006686460083715057
batch_norm,4096,28143557,8672913589,90962772,8577314,0.7075423382306328,0.08554196306210515,0.06211693486768348,0.006665578164194252
concat,8192,12055838,61282016,5368172,308535,0.030122145173078436,0.0007099993541346723,0.15173417857373378,0.08397979285197014
gather,8192,11771426,30264452,5026437,228666,0.016806392608389575,0.00039529415098561775,0.2676906474887115,0.18139273584329893
reshape,8192,11524381,20360227,3871786,138848,0.1472111030977981,0.013748155374341622,0.04105252216006704,0.2010910982684484
shape,8192,11219351,1600,4143229,138370,0.07608870510292315,0.12067075310431083,0.15687052200671286,0.1294908375247454
squeeze,8192,14349056,4768,4976995,144850,0.23079387278284247,0.4489051138871247,0.135374927534989,0.2654151376136115
unsqueeze,8192,15218004,44326,6778624,328245,0.21620466176773712,0.13510746114843483,0.2957258357730486,0.17950665755351358
add,8192,12741363,44240361,5644131,457369,0.058788017498161114,0.12846388067934372,0.07777874751666142,0.27028699658026023
cast,8192,12781840,31959556,5215617,444128,0.11765161234901217,0.002534282837968777,0.07011250272196384,0.23145258753396614
mul,8192,13148144,43733760,8381759,476058,0.041994207240507626,0.14924110102979324,0.11461457240956863,0.26655178289517983
relu,8192,11504632,32220652,6237081,445433,0.07906221493663589,0.010875198485320564,0.12167923130051599,0.21057403708612385
sub,8192,12113297,43374874,6129366,441136,0.017691678728497206,0.1360666391822406,0.1635849669868813,0.14878029386744912
transpose,8192,12706114,1029759823,8045053,804237,0.10830805623995324,0.016670515583716627,0.1892708942492348,0.1632799530205116
slice,8192,12231925,7054,5534397,183056,0.1323189877227973,0.07503952655228534,0.2366637801824166,0.39569034710295226
div,8192,13330256,46862019,5686996,406131,0.10635383181605804,0.13418900084013294,0.057272131504325745,0.04885270579192007
sum,8192,11423126,60699720,6438659,404344,0.0479576405591506,0.03730249467515287,0.09720207662681704,0.18213849290909326
nonzero,8192,13018691,44377397,6990529,655926,0.05231538417999595,0.24877304949070736,0.21804299788201065,0.4387949013862386
pow,8192,11344832,32074480,6388191,473149,0.045316851796006315,0.0037899117978930385,0.14790000988441956,0.16162726461403928
sqrt,8192,11550611,35728790,5889603,454596,0.03896201157239762,0.00844395729718105,0.1507629446111773,0.10896527697104887
clip,8192,14244454,33639681,8575078,621449,0.19417518392011027,0.030418441826880475,0.3717135605385622,0.1034556886188414
leaky_relu,8192,12805253,32189018,6757326,556696,0.12452005208626372,0.0178744400566881,0.28328283130881793,0.2620285150936105
softmax,8192,13314174,526698789,13068560,1459966,0.15028238044898123,0.021575649417570637,0.036766389653036566,0.014425340335260608
tanh,8192,11943574,476007801,5941935,417923,0.10284214284431435,0.013670016241565811,0.09812727357205148,0.10733018121273492
maxpool,8192,12789943,47038944,8577999,835087,0.06457801846086768,0.0012037822299647656,0.1428404624540126,0.1620211036692349
